timestamp,cpu_percent,memory_percent,,Tempo,CPU,Memória
2024-06-21 15:03:10,41.2,43.9,"43,9",00:01,"41,2","43,9"
2024-06-21 15:03:11,36.5,43.9,"43,9",00:02,"36,5","43,9"
2024-06-21 15:03:12,33.6,43.8,"43,8",00:03,"33,6","43,8"
2024-06-21 15:03:13,37.2,43.9,"43,9",00:04,"37,2","43,9"
2024-06-21 15:03:14,40.9,43.9,"43,9",00:05,"40,9","43,9"
2024-06-21 15:03:15,36.0,43.8,"43,8",00:06,"36,0","43,8"
2024-06-21 15:03:16,41.4,43.8,"43,8",00:07,"41,4","43,8"
2024-06-21 15:03:17,43.2,43.9,"43,9",00:08,"43,2","43,9"
2024-06-21 15:03:18,40.6,43.8,"43,8",00:09,"40,6","43,8"
2024-06-21 15:03:19,37.8,43.8,"43,8",00:10,"37,8","43,8"
2024-06-21 15:03:20,38.0,43.8,"43,8",00:11,"38,0","43,8"
2024-06-21 15:03:21,34.5,43.7,"43,7",00:12,"34,5","43,7"
2024-06-21 15:03:22,36.1,43.8,"43,8",00:13,"36,1","43,8"
2024-06-21 15:03:23,47.3,43.8,"43,8",00:14,"47,3","43,8"
2024-06-21 15:03:24,55.6,42.1,"42,1",00:15,"55,6","42,1"
2024-06-21 15:03:25,37.7,41.9,"41,9",00:16,"37,7","41,9"
2024-06-21 15:03:26,35.3,41.7,"41,7",00:17,"35,3","41,7"
2024-06-21 15:03:27,43.0,39.5,"39,5",00:18,"43,0","39,5"
2024-06-21 15:03:28,48.2,39.6,"39,6",00:19,"48,2","39,6"
2024-06-21 15:03:29,60.3,39.8,"39,8",00:20,"60,3","39,8"
2024-06-21 15:03:30,54.7,38.8,"38,8",00:21,"54,7","38,8"
2024-06-21 15:03:31,54.3,38.0,"38,0",00:22,"54,3","38,0"
2024-06-21 15:03:32,62.5,37.9,"37,9",00:23,"62,5","37,9"
2024-06-21 15:03:33,59.4,35.9,"35,9",00:24,"59,4","35,9"
2024-06-21 15:03:34,51.0,36.2,"36,2",00:25,"51,0","36,2"
2024-06-21 15:03:35,46.8,36.3,"36,3",00:26,"46,8","36,3"
2024-06-21 15:03:36,49.4,36.5,"36,5",00:27,"49,4","36,5"
2024-06-21 15:03:37,52.3,36.5,"36,5",00:28,"52,3","36,5"
2024-06-21 15:03:38,26.4,36.3,"36,3",00:29,"26,4","36,3"
2024-06-21 15:03:39,39.6,36.3,"36,3",00:30,"39,6","36,3"
2024-06-21 15:03:41,36.3,36.2,"36,2",00:31,"36,3","36,2"
2024-06-21 15:03:42,31.6,36.2,"36,2",00:32,"31,6","36,2"
2024-06-21 15:03:43,27.1,36.2,"36,2",00:33,"27,1","36,2"
2024-06-21 15:03:44,31.7,36.2,"36,2",00:34,"31,7","36,2"
2024-06-21 15:03:45,32.9,36.1,"36,1",00:35,"32,9","36,1"
2024-06-21 15:03:46,30.1,36.2,"36,2",00:36,"30,1","36,2"
2024-06-21 15:03:47,30.5,36.2,"36,2",00:37,"30,5","36,2"
2024-06-21 15:03:48,28.0,36.2,"36,2",00:38,"28,0","36,2"
2024-06-21 15:03:49,28.6,36.2,"36,2",00:39,"28,6","36,2"
2024-06-21 15:03:50,23.7,36.2,"36,2",00:40,"23,7","36,2"
2024-06-21 15:03:51,28.8,36.2,"36,2",00:41,"28,8","36,2"
2024-06-21 15:03:52,30.0,36.2,"36,2",00:42,"30,0","36,2"
2024-06-21 15:03:53,27.8,36.2,"36,2",00:43,"27,8","36,2"
2024-06-21 15:03:54,26.4,36.2,"36,2",00:44,"26,4","36,2"
2024-06-21 15:03:55,28.1,36.2,"36,2",00:45,"28,1","36,2"
2024-06-21 15:03:56,26.8,36.2,"36,2",00:46,"26,8","36,2"
2024-06-21 15:03:57,31.0,36.2,"36,2",00:47,"31,0","36,2"
2024-06-21 15:03:58,33.2,36.2,"36,2",00:48,"33,2","36,2"
2024-06-21 15:03:59,32.9,36.2,"36,2",00:49,"32,9","36,2"
2024-06-21 15:04:00,25.6,36.1,"36,1",00:50,"25,6","36,1"
2024-06-21 15:04:01,36.6,36.2,"36,2",00:51,"36,6","36,2"
2024-06-21 15:04:02,29.9,36.2,"36,2",00:52,"29,9","36,2"
2024-06-21 15:04:03,29.3,36.2,"36,2",00:53,"29,3","36,2"
2024-06-21 15:04:04,27.1,36.1,"36,1",00:54,"27,1","36,1"
2024-06-21 15:04:05,19.0,36.2,"36,2",00:55,"19,0","36,2"
2024-06-21 15:04:06,52.2,36.0,"36,0",00:56,"52,2","36,0"
2024-06-21 15:04:07,44.9,36.2,"36,2",00:57,"44,9","36,2"
2024-06-21 15:04:08,52.4,36.2,"36,2",00:58,"52,4","36,2"
2024-06-21 15:04:09,45.4,36.0,"36,0",00:59,"45,4","36,0"
